# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Mon, 28 Dec 2020 23:00:04 +0100
#
# IP	number of (black)lists
#
31.220.1.233	10
51.83.187.201	10
145.239.92.26	10
31.220.0.202	10
185.220.102.245	9
185.220.102.246	9
185.220.102.240	9
185.220.102.249	9
31.220.2.107	9
45.154.168.201	9
31.220.0.249	9
178.165.72.177	9
31.220.1.169	9
62.102.148.68	9
198.251.83.248	9
171.25.193.78	9
185.220.101.1	9
185.220.103.7	9
171.25.193.25	9
185.220.101.208	9
107.189.10.27	8
31.220.3.147	8
31.220.3.148	8
31.220.0.203	8
217.182.78.180	8
54.38.81.231	8
185.220.102.244	8
185.220.102.243	8
45.154.168.147	8
145.239.82.168	8
192.42.116.16	8
104.244.73.13	8
45.154.35.221	8
185.220.101.193	8
162.247.74.27	8
54.38.52.137	8
104.244.72.168	8
104.244.73.205	8
145.239.95.15	8
185.56.80.65	8
45.154.35.222	8
62.102.148.69	8
51.158.111.157	8
185.191.124.152	8
31.220.2.222	8
31.220.1.170	8
91.192.103.10	8
91.192.103.15	8
171.25.193.77	8
45.154.35.216	8
45.154.35.219	8
23.129.64.216	8
145.239.82.142	8
77.247.181.162	8
193.218.118.95	8
171.25.193.20	8
23.129.64.197	8
104.244.74.121	8
185.220.102.254	8
185.220.102.253	8
91.192.103.24	8
185.220.101.198	8
185.220.101.194	8
185.32.222.171	8
31.220.2.108	8
51.68.143.212	8
51.83.129.84	7
49.235.113.90	7
122.55.190.12	7
107.170.227.141	7
195.154.179.3	7
221.181.185.36	7
185.220.102.247	7
185.220.102.241	7
185.220.102.242	7
185.220.102.248	7
218.93.207.40	7
51.83.134.17	7
91.192.103.34	7
203.177.71.254	7
145.239.82.229	7
31.220.0.186	7
23.129.64.203	7
217.170.205.14	7
81.70.23.139	7
159.203.74.227	7
177.131.11.190	7
193.218.118.213	7
198.144.120.234	7
43.240.102.4	7
138.68.236.50	7
185.220.101.139	7
185.220.102.6	7
198.98.50.112	7
138.197.143.146	7
51.77.135.89	7
104.244.73.93	7
205.185.127.217	7
185.67.82.114	7
101.71.51.192	7
51.75.144.43	7
104.244.76.13	7
222.187.222.55	7
45.154.35.220	7
2.57.122.163	7
185.220.100.240	7
23.129.64.189	7
107.189.10.251	7
195.206.105.217	7
51.77.58.144	7
51.75.64.187	7
89.234.157.254	7
51.210.80.127	7
185.191.124.150	7
91.192.103.11	7
91.192.103.16	7
167.88.7.134	7
45.154.35.217	7
45.154.35.214	7
23.129.64.217	7
31.220.40.241	7
213.164.204.3	7
185.220.101.24	7
185.220.101.22	7
209.141.41.103	7
31.220.40.238	7
185.220.102.8	7
193.218.118.235	7
77.247.181.165	7
46.101.40.21	7
213.61.215.54	7
185.220.103.8	7
106.52.231.46	7
107.189.10.246	7
176.10.99.200	7
198.144.120.177	7
185.117.119.189	7
31.220.40.163	7
91.121.91.82	7
45.155.205.86	7
45.155.205.87	7
185.220.102.251	7
119.28.51.99	7
91.192.103.25	7
91.192.103.26	7
5.199.130.188	7
185.32.222.172	7
193.239.232.101	7
51.75.52.118	7
185.220.101.207	7
185.220.101.202	7
51.195.148.18	7
165.227.132.233	7
62.210.105.116	7
185.220.101.146	7
185.220.101.206	7
193.218.118.243	7
185.100.87.207	7
117.193.77.254	6
46.97.44.18	6
128.31.0.13	6
80.82.77.33	6
1.179.186.174	6
119.45.202.43	6
107.189.11.153	6
213.39.55.13	6
49.232.175.137	6
51.210.15.107	6
45.127.133.61	6
189.55.194.94	6
104.225.236.41	6
106.53.240.126	6
185.220.101.134	6
185.213.155.169	6
95.84.240.168	6
175.126.38.47	6
129.204.203.218	6
109.74.130.129	6
64.64.239.39	6
160.124.50.93	6
183.107.19.138	6
218.232.135.95	6
51.210.243.175	6
151.80.144.233	6
119.45.177.202	6
106.12.84.33	6
81.27.81.170	6
112.85.42.110	6
106.12.144.189	6
211.103.222.34	6
5.88.135.45	6
188.166.187.179	6
217.182.192.217	6
143.110.248.63	6
106.12.37.20	6
54.39.50.28	6
81.4.127.228	6
157.230.128.135	6
103.19.110.38	6
104.248.236.10	6
43.226.148.42	6
185.107.47.171	6
110.164.189.53	6
64.227.46.1	6
138.68.110.166	6
62.28.217.62	6
195.206.107.147	6
112.85.42.151	6
5.16.72.81	6
81.68.66.41	6
141.255.186.142	6
45.154.255.147	6
111.231.199.243	6
2.57.122.153	6
49.233.64.168	6
23.129.64.208	6
178.20.55.18	6
119.45.57.90	6
218.29.54.108	6
67.205.142.48	6
162.247.72.199	6
173.30.96.81	6
134.209.185.4	6
185.220.100.253	6
185.220.100.252	6
185.220.100.255	6
185.220.100.254	6
103.10.169.212	6
138.68.88.163	6
79.60.230.185	6
185.107.70.202	6
221.131.165.124	6
165.227.50.84	6
152.32.139.56	6
193.218.118.212	6
46.101.119.147	6
196.189.91.162	6
134.122.103.82	6
45.129.56.200	6
37.187.106.104	6
51.15.221.90	6
166.70.207.2	6
46.101.143.148	6
31.167.129.212	6
79.174.187.54	6
115.134.194.193	6
159.65.41.159	6
51.178.80.229	6
169.48.92.109	6
221.139.0.56	6
58.19.42.140	6
150.158.5.97	6
185.220.101.218	6
185.220.101.215	6
185.220.101.216	6
185.220.101.211	6
185.220.101.212	6
185.220.101.213	6
71.6.199.23	6
175.24.19.17	6
101.91.178.122	6
